,gene_a,gene_b,score_a2b,score_b2a
1453,YALI0_B19250g,YALI1_B25258g,1285.0,1285.0
1454,YALI0_B19316g,YALI1_B25313g,939.0,939.0
1455,YALI0_B19338g,YALI1_B25360g,1170.0,1170.0
1456,YALI0_B19360g,YALI1_B25395g,665.0,665.0
1457,YALI0_B19382g,YALI1_B25427g,3371.0,3371.0
1458,YALI0_B19448g,YALI1_B25484g,706.0,706.0
1459,YALI0_B19470g,YALI1_B25506g,1086.0,1086.0
1460,YALI0_B19492g,YALI1_B25553g,1182.0,1182.0
1461,YALI0_B19558g,YALI1_B25593g,611.0,611.0
1462,YALI0_B19580g,YALI1_B25603g,1398.0,1398.0
1463,YALI0_B19602g,YALI1_B25676g,802.0,802.0
1464,YALI0_B19624g,YALI1_B25734g,815.0,815.0
1465,YALI0_B19646g,YALI1_B25744g,560.0,560.0
1466,YALI0_B19668g,YALI1_B25762g,377.0,377.0
1467,YALI0_B19712g,YALI1_B25795g,797.0,797.0
1468,YALI0_B19734g,YALI1_B25798g,1848.0,1848.0
1469,YALI0_B19756g,YALI1_B25833g,601.0,601.0
1470,YALI0_B19778g,YALI1_B25868g,186.0,185.0
1471,YALI0_B19800g,YALI1_B25906g,1222.0,1222.0
1472,YALI0_B19844g,YALI1_B25952g,894.0,894.0
1473,YALI0_B19866g,YALI1_B25963g,709.0,709.0
1474,YALI0_B19888g,YALI1_B25988g,769.0,769.0
1475,YALI0_B19910g,YALI1_B25997g,1255.0,1255.0
1476,YALI0_B19976g,YALI1_B26033g,768.0,768.0
1477,YALI0_B19998g,YALI1_B26112g,4391.0,4391.0
1478,YALI0_B20020g,YALI1_B26153g,750.0,750.0
1479,YALI0_B20042g,YALI1_B26175g,219.0,219.0
1480,YALI0_B20064g,YALI1_B26205g,1266.0,1266.0
1481,YALI0_B20086g,YALI1_B26235g,717.0,717.0
1482,YALI0_B20108g,YALI1_B26271g,910.0,910.0
1483,YALI0_B20174g,YALI1_B26322g,798.0,798.0
1484,YALI0_B20196g,YALI1_B26350g,663.0,663.0
1485,YALI0_B20218g,YALI1_B26430g,2725.0,2725.0
1486,YALI0_B20240g,YALI1_B26451g,360.0,360.0
1487,YALI0_B20262g,YALI1_B26517g,3772.0,3772.0
1488,YALI0_B20284g,YALI1_B26550g,818.0,818.0
1489,YALI0_B20306g,YALI1_B26596g,580.0,580.0
1490,YALI0_B20328g,YALI1_B26639g,313.0,313.0
1491,YALI0_B20350g,YALI1_B26659g,786.0,786.0
1492,YALI0_B20372g,YALI1_B26679g,1009.0,1009.0
1493,YALI0_B20394g,YALI1_B26715g,1019.0,1019.0
1494,YALI0_B20416g,YALI1_B26728g,672.0,672.0
1495,YALI0_B20438g,YALI1_B26749g,609.0,609.0
1496,YALI0_B20460g,YALI1_B26763g,1006.0,1006.0
1497,YALI0_B20482g,YALI1_B26790g,614.0,614.0
1498,YALI0_B20504g,YALI1_B26808g,286.0,286.0
1499,YALI0_B20526g,YALI1_B26845g,784.0,784.0
1500,YALI0_B20570g,YALI1_B26926g,1452.0,1452.0
1501,YALI0_B20592g,YALI1_B26962g,862.0,862.0
1502,YALI0_B20614g,YALI1_B26963g,706.0,706.0
1503,YALI0_B20636g,YALI1_B26984g,590.0,590.0
1504,YALI0_B20658g,YALI1_B27009g,835.0,835.0
1505,YALI0_B20680g,YALI1_B27015g,1597.0,1597.0
1506,YALI0_B20702g,YALI1_B27057g,1065.0,1065.0
1507,YALI0_B20724g,YALI1_B27102g,2390.0,2390.0
1508,YALI0_B20746g,YALI1_B27110g,872.0,872.0
1509,YALI0_B20768g,YALI1_B27144g,1098.0,1098.0
1510,YALI0_B20790g,YALI1_B27150g,664.0,664.0
1511,YALI0_B20812g,YALI1_B27179g,1025.0,1025.0
1512,YALI0_B20834g,YALI1_B27211g,2134.0,2134.0
1513,YALI0_B20856g,YALI1_B27254g,964.0,964.0
1514,YALI0_B20878g,YALI1_B27280g,596.0,596.0
1515,YALI0_B20900g,YALI1_B27293g,388.0,388.0
1516,YALI0_B20911g,YALI1_B27307g,352.0,352.0
1517,YALI0_B20922g,YALI1_B27320g,807.0,807.0
1518,YALI0_B20944g,YALI1_B27360g,1449.0,1449.0
1519,YALI0_B20966g,YALI1_B27399g,261.0,261.0
1520,YALI0_B20988g,YALI1_B27404g,543.0,543.0
1521,YALI0_B21010g,YALI1_B27429g,1155.0,1155.0
1522,YALI0_B21032g,YALI1_B27454g,968.0,968.0
1523,YALI0_B21054g,YALI1_B27460g,1332.0,1332.0
1524,YALI0_B21076g,YALI1_B27485g,304.0,304.0
1525,YALI0_B21098g,YALI1_B27500g,1273.0,1273.0
1526,YALI0_B21120g,YALI1_B27534g,615.0,615.0
1527,YALI0_B21142g,YALI1_B27564g,1121.0,1121.0
1528,YALI0_B21164g,YALI1_B27570g,335.0,335.0
1529,YALI0_B21186g,YALI1_B27588g,1085.0,1085.0
1530,YALI0_B21208g,YALI1_B27637g,518.0,518.0
1531,YALI0_B21230g,YALI1_B27645g,961.0,961.0
1532,YALI0_B21252g,YALI1_B27662g,202.0,202.0
1533,YALI0_B21274g,YALI1_B27685g,398.0,398.0
1534,YALI0_B21296g,YALI1_B27689g,595.0,595.0
1535,YALI0_B21318g,YALI1_B27723g,1097.0,1097.0
1536,YALI0_B21340g,YALI1_B27777g,1642.0,1642.0
1537,YALI0_B21362g,YALI1_B27805g,294.0,294.0
1538,YALI0_B21384g,YALI1_B27837g,1499.0,1499.0
1539,YALI0_B21406g,YALI1_B27857g,756.0,756.0
1540,YALI0_B21428g,YALI1_B27874g,1432.0,1432.0
1541,YALI0_B21450g,YALI1_B27929g,271.0,271.0
1542,YALI0_B21472g,YALI1_B27968g,710.0,710.0
1543,YALI0_B21494g,YALI1_B27984g,1016.0,1016.0
1544,YALI0_B21516g,YALI1_B28017g,883.0,883.0
1545,YALI0_B21527g,YALI1_B28025g,283.0,283.0
1546,YALI0_B21538g,YALI1_B28053g,1122.0,1122.0
1547,YALI0_B21560g,YALI1_B28098g,615.0,615.0
1548,YALI0_B21582g,YALI1_B28150g,581.0,581.0
1549,YALI0_B21604g,YALI1_B28215g,654.0,654.0
1550,YALI0_B21626g,YALI1_B28268g,2321.0,2321.0
1551,YALI0_B21662g,YALI1_B28292g,2443.0,2443.0
1552,YALI0_B21670g,YALI1_B28349g,722.0,722.0
1553,YALI0_B21692g,YALI1_B28357g,654.0,654.0
1554,YALI0_B21714g,YALI1_B28374g,328.0,328.0
1555,YALI0_B21780g,YALI1_B28394g,637.0,637.0
1556,YALI0_B21824g,YALI1_B28430g,1171.0,1171.0
1557,YALI0_B21846g,YALI1_B28454g,822.0,822.0
1558,YALI0_B21868g,YALI1_B28472g,452.0,452.0
1559,YALI0_B21890g,YALI1_B28499g,797.0,797.0
1560,YALI0_B21912g,YALI1_B28511g,381.0,381.0
1561,YALI0_B21978g,YALI1_B28572g,1723.0,1723.0
1562,YALI0_B22000g,YALI1_B28584g,366.0,366.0
1563,YALI0_B22066g,YALI1_B28659g,1859.0,1859.0
1564,YALI0_B22088g,YALI1_B28735g,1862.0,1862.0
1565,YALI0_B22110g,YALI1_B28744g,605.0,593.0
1566,YALI0_B22125g,YALI1_B28781g,118.0,118.0
1567,YALI0_B22132g,YALI1_B28789g,698.0,698.0
1568,YALI0_B22154g,YALI1_B28830g,415.0,415.0
1569,YALI0_B22176g,YALI1_B28933g,1183.0,1183.0
1570,YALI0_B22198g,YALI1_B29008g,366.0,366.0
1571,YALI0_B22220g,YALI1_B29037g,525.0,525.0
1572,YALI0_B22242g,YALI1_B29051g,2139.0,2139.0
1573,YALI0_B22264g,YALI1_B29080g,508.0,508.0
1574,YALI0_B22286g,YALI1_B29108g,970.0,970.0
1575,YALI0_B22308g,YALI1_B29133g,1078.0,1078.0
1576,YALI0_B22330g,YALI1_B29153g,991.0,991.0
1577,YALI0_B22374g,YALI1_B29191g,1288.0,1288.0
1578,YALI0_B22396g,YALI1_B29202g,278.0,278.0
1579,YALI0_B22418g,YALI1_B29227g,1087.0,1087.0
1580,YALI0_B22440g,YALI1_B29243g,1003.0,1003.0
1581,YALI0_B22462g,YALI1_B29266g,1291.0,1291.0
1582,YALI0_B22484g,YALI1_B29310g,3279.0,3279.0
1583,YALI0_B22506g,YALI1_B29419g,756.0,756.0
1584,YALI0_B22528g,YALI1_B29446g,1760.0,1760.0
1585,YALI0_B22550g,YALI1_B29483g,658.0,658.0
1586,YALI0_B22572g,YALI1_B29505g,1250.0,1250.0
1587,YALI0_B22594g,YALI1_B29507g,187.0,187.0
1588,YALI0_B22616g,YALI1_B29528g,821.0,821.0
1589,YALI0_B22638g,YALI1_B29539g,337.0,337.0
1590,YALI0_B22660g,YALI1_B29548g,654.0,654.0
1591,YALI0_B22682g,YALI1_B29562g,1586.0,1586.0
1592,YALI0_B22704g,YALI1_B29637g,3135.0,3135.0
1593,YALI0_B22726g,YALI1_B29662g,2313.0,2313.0
1594,YALI0_B22748g,YALI1_B29711g,946.0,946.0
1595,YALI0_B22770g,YALI1_B29718g,396.0,396.0
1596,YALI0_B22792g,YALI1_B29742g,1376.0,1376.0
1597,YALI0_B22814g,YALI1_B29753g,1086.0,1086.0
1598,YALI0_B22836g,YALI1_B29779g,474.0,474.0
1599,YALI0_B22858g,YALI1_B29785g,2608.0,2608.0
1600,YALI0_B22880g,YALI1_B29844g,953.0,953.0
1601,YALI0_B22902g,YALI1_B29867g,903.0,903.0
1602,YALI0_B22924g,YALI1_B29883g,384.0,384.0
1603,YALI0_B22946g,YALI1_B29895g,350.0,350.0
1604,YALI0_B22968g,YALI1_B29905g,457.0,457.0
1605,YALI0_B22990g,YALI1_B29915g,1124.0,1124.0
1606,YALI0_B23012g,YALI1_B29941g,736.0,736.0
1607,YALI0_B23034g,YALI1_B29972g,1363.0,1363.0
1608,YALI0_B23056g,YALI1_B29977g,466.0,466.0
1609,YALI0_B23078g,YALI1_B29995g,1272.0,1272.0
1610,YALI0_B23100g,YALI1_B30024g,656.0,656.0
1611,YALI0_B23111g,YALI1_B30036g,307.0,307.0
1612,YALI0_B23122g,YALI1_B30039g,504.0,504.0
1613,YALI0_B23166g,YALI1_B30066g,895.0,895.0
1614,YALI0_B23188g,YALI1_B30090g,1159.0,1159.0
1615,YALI0_B23210g,YALI1_B30123g,1036.0,1036.0
1616,YALI0_B23232g,YALI1_B30146g,1309.0,1309.0
1617,YALI0_B23254g,YALI1_B30162g,456.0,456.0
1618,YALI0_B23276g,YALI1_B30163g,145.0,145.0
1619,YALI0_B23298g,YALI1_B30181g,904.0,904.0
1620,YALI0_B23320g,YALI1_B30182g,479.0,479.0
1621,YALI0_B23342g,YALI1_B30214g,1211.0,1211.0
1622,YALI0_B23364g,YALI1_B30218g,718.0,718.0
1623,YALI0_B23430g,YALI1_B30275g,901.0,901.0
1624,YALI0_B23452g,YALI1_B30293g,570.0,570.0
1625,YALI0_B23474g,YALI1_B30337g,415.0,415.0
1626,YALI0_B23496g,YALI1_B30382g,235.0,235.0
1627,YALI0_C00110g,YALI1_C00116g,830.0,830.0
1628,YALI0_C00165g,YALI1_C00164g,934.0,934.0
1629,YALI0_C00187g,YALI1_C00209g,1737.0,1737.0
1630,YALI0_C00209g,YALI1_C00230g,1490.0,1490.0
1631,YALI0_C00231g,YALI1_C00258g,994.0,994.0
1632,YALI0_C00253g,YALI1_C00293g,1410.0,1410.0
1633,YALI0_C00275g,YALI1_C00331g,1075.0,1075.0
1634,YALI0_C00297g,YALI1_C00335g,527.0,527.0
1635,YALI0_C00319g,YALI1_C353g,590.0,590.0
1636,YALI0_C00341g,YALI1_C00368g,850.0,850.0
1637,YALI0_C00363g,YALI1_C00422g,2722.0,2722.0
1638,YALI0_C00385g,YALI1_C00442g,1005.0,1005.0
1639,YALI0_C00407g,YALI1_C00464g,156.0,156.0
1640,YALI0_C00407g,YALI1_C00464g,156.0,63.2
1641,YALI0_C00407g,YALI1_C00464g,63.9,156.0
1642,YALI0_C00407g,YALI1_C00464g,63.9,63.2
1643,YALI0_C00429g,YALI1_C00503g,1031.0,1031.0
1644,YALI0_C00451g,YALI1_C00550g,1174.0,1174.0
1645,YALI0_C00473g,YALI1_C00615g,1246.0,1246.0
1646,YALI0_C00495g,YALI1_C00694g,3700.0,3700.0
1647,YALI0_C00539g,YALI1_C00739g,1301.0,1301.0
1648,YALI0_C00550g,YALI1_C00766g,194.0,194.0
1649,YALI0_C00561g,YALI1_C00772g,308.0,308.0
1650,YALI0_C00627g,YALI1_C00826g,1154.0,1154.0
1651,YALI0_C00649g,YALI1_C00841g,476.0,476.0
1652,YALI0_C00671g,YALI1_C00913g,1247.0,1247.0
1653,YALI0_C00693g,YALI1_C00958g,130.0,130.0
1654,YALI0_C00715g,YALI1_C00962g,154.0,154.0
1655,YALI0_C00759g,YALI1_C00999g,1754.0,1754.0
1656,YALI0_C00781g,YALI1_C01043g,1083.0,1083.0
1657,YALI0_C00803g,YALI1_C01072g,1092.0,1092.0
1658,YALI0_C00825g,YALI1_C01106g,970.0,970.0
1659,YALI0_C00847g,YALI1_C01129g,1045.0,1045.0
1660,YALI0_C00869g,YALI1_C01161g,1097.0,1097.0
1661,YALI0_C00891g,YALI1_C01244g,805.0,805.0
1662,YALI0_C00913g,YALI1_C01297g,1860.0,1860.0
1663,YALI0_C00957g,YALI1_C01338g,1410.0,1410.0
1664,YALI0_C00979g,YALI1_C01356g,1337.0,1337.0
1665,YALI0_C01001g,YALI1_C01393g,400.0,400.0
1666,YALI0_C01023g,YALI1_C01416g,783.0,783.0
1667,YALI0_C01045g,YALI1_C01433g,2538.0,2538.0
1668,YALI0_C01067g,YALI1_C01491g,743.0,743.0
1669,YALI0_C01111g,YALI1_C01520g,459.0,459.0
1670,YALI0_C01133g,YALI1_C01535g,2033.0,2033.0
1671,YALI0_C01155g,YALI1_C01576g,590.0,590.0
1672,YALI0_C01177g,YALI1_C01596g,545.0,545.0
1673,YALI0_C01199g,YALI1_C01675g,746.0,746.0
1674,YALI0_C01221g,YALI1_C01720g,461.0,461.0
1675,YALI0_C01243g,YALI1_C01789g,2550.0,2550.0
1676,YALI0_C01287g,YALI1_C01800g,466.0,466.0
1677,YALI0_C01309g,YALI1_C01810g,341.0,341.0
1678,YALI0_C01331g,YALI1_C01826g,497.0,497.0
1679,YALI0_C01375g,YALI1_C01847g,1629.0,1629.0
1680,YALI0_C01397g,YALI1_C01876g,652.0,652.0
1681,YALI0_C01411g,YALI1_C01944g,4000.0,4000.0
1682,YALI0_C01419g,YALI1_C01965g,565.0,565.0
1683,YALI0_C01441g,YALI1_C01993g,850.0,850.0
1684,YALI0_C01463g,YALI1_C02053g,1788.0,1788.0
1685,YALI0_C01485g,YALI1_C02086g,1033.0,1033.0
1686,YALI0_C01507g,YALI1_C02117g,1040.0,1040.0
1687,YALI0_C01573g,YALI1_C02152g,1331.0,1331.0
1688,YALI0_C01595g,YALI1_C02188g,1403.0,1403.0
1689,YALI0_C01617g,YALI1_C02215g,827.0,827.0
1690,YALI0_C01694g,YALI1_C02332g,2486.0,2486.0
1691,YALI0_C01716g,YALI1_C02391g,766.0,766.0
1692,YALI0_C01738g,YALI1_C02402g,891.0,891.0
1693,YALI0_C01760g,YALI1_C02441g,387.0,387.0
1694,YALI0_C01782g,YALI1_C02487g,724.0,724.0
1695,YALI0_C01826g,YALI1_C02521g,691.0,691.0
1696,YALI0_C01859g,YALI1_C02550g,1091.0,1091.0
1697,YALI0_C01903g,YALI1_C02588g,644.0,644.0
1698,YALI0_C01925g,YALI1_C02611g,692.0,692.0
1699,YALI0_C01947g,YALI1_C02624g,240.0,240.0
1700,YALI0_C01969g,YALI1_C02639g,784.0,784.0
1701,YALI0_C01991g,YALI1_C02686g,2019.0,2019.0
1702,YALI0_C02057g,YALI1_C02831g,7885.0,7885.0
1703,YALI0_C02167g,YALI1_C02866g,464.0,464.0
1704,YALI0_C02211g,YALI1_C02904g,1112.0,1112.0
1705,YALI0_C02233g,YALI1_C03036g,455.0,455.0
1706,YALI0_C02255g,YALI1_C03221g,268.0,268.0
1707,YALI0_C02321g,YALI1_C03246g,772.0,772.0
1708,YALI0_C02343g,YALI1_C03272g,691.0,691.0
1709,YALI0_C02365g,YALI1_C03335g,2753.0,2753.0
1710,YALI0_C02387g,YALI1_C03349g,272.0,272.0
1711,YALI0_C02409g,YALI1_C03378g,1580.0,1580.0
1712,YALI0_C02431g,YALI1_C03415g,620.0,620.0
1713,YALI0_C02453g,YALI1_C03461g,1441.0,1441.0
1714,YALI0_C02475g,YALI1_C03495g,1148.0,1148.0
1715,YALI0_C02497g,YALI1_C03513g,582.0,582.0
1716,YALI0_C02519g,YALI1_C03534g,1167.0,1167.0
1717,YALI0_C02541g,YALI1_C03550g,1306.0,1306.0
1718,YALI0_C02563g,YALI1_C03582g,670.0,670.0
1719,YALI0_C02585g,YALI1_C03596g,479.0,479.0
1720,YALI0_C02607g,YALI1_C03615g,344.0,344.0
1721,YALI0_C02629g,YALI1_C03674g,1087.0,1087.0
1722,YALI0_C02651g,YALI1_C03735g,971.0,971.0
1723,YALI0_C02717g,YALI1_C03774g,1199.0,1199.0
1724,YALI0_C02761g,YALI1_C03842g,568.0,568.0
1725,YALI0_C02783g,YALI1_C03848g,1112.0,1112.0
1726,YALI0_C02805g,YALI1_C03874g,573.0,573.0
1727,YALI0_C02827g,YALI1_C03887g,625.0,625.0
1728,YALI0_C02849g,YALI1_C03914g,966.0,966.0
1729,YALI0_C02871g,YALI1_C03933g,172.0,172.0
1730,YALI0_C02893g,YALI1_C03939g,247.0,247.0
1731,YALI0_C02915g,YALI1_C03948g,586.0,586.0
1732,YALI0_C02937g,YALI1_C03969g,581.0,581.0
1733,YALI0_C02959g,YALI1_C03988g,926.0,926.0
1734,YALI0_C02981g,YALI1_C04031g,516.0,516.0
1735,YALI0_C03003g,YALI1_C04067g,598.0,598.0
1736,YALI0_C03025g,YALI1_C04093g,1016.0,1016.0
1737,YALI0_C03047g,YALI1_C04117g,560.0,560.0
1738,YALI0_C03069g,YALI1_C04143g,693.0,693.0
1739,YALI0_C03091g,YALI1_C04162g,377.0,377.0
1740,YALI0_C03135g,YALI1_C04201g,1962.0,1962.0
1741,YALI0_C03179g,YALI1_C04265g,1118.0,1118.0
1742,YALI0_C03201g,YALI1_C04281g,177.0,177.0
1743,YALI0_C03223g,YALI1_C04302g,278.0,278.0
1744,YALI0_C03245g,YALI1_C04328g,819.0,819.0
1745,YALI0_C03333g,YALI1_C04389g,1233.0,1233.0
1746,YALI0_C03355g,YALI1_C04401g,808.0,808.0
1747,YALI0_C03377g,YALI1_C04436g,1135.0,1135.0
1748,YALI0_C03399g,YALI1_C04490g,1771.0,1771.0
1749,YALI0_C03443g,YALI1_C04553g,308.0,308.0
1750,YALI0_C03465g,YALI1_C04570g,323.0,323.0
1751,YALI0_C03520g,YALI1_C04672g,1077.0,1077.0
1752,YALI0_C03542g,YALI1_C04690g,829.0,829.0
1753,YALI0_C03564g,YALI1_C04720g,996.0,996.0
1754,YALI0_C03586g,YALI1_C04771g,1449.0,1449.0
1755,YALI0_C03608g,YALI1_C04798g,1193.0,1193.0
1756,YALI0_C03630g,YALI1_C04818g,996.0,996.0
1757,YALI0_C03652g,YALI1_C04853g,1121.0,1121.0
1758,YALI0_C03674g,YALI1_C04882g,1647.0,1647.0
1759,YALI0_C03696g,YALI1_C04925g,286.0,286.0
1760,YALI0_C03718g,YALI1_C04962g,608.0,608.0
1761,YALI0_C03762g,YALI1_C04991g,844.0,844.0
1762,YALI0_C03784g,YALI1_C04996g,589.0,589.0
1763,YALI0_C03806g,YALI1_C05022g,275.0,275.0
1764,YALI0_C03828g,YALI1_C05088g,3493.0,3493.0
1765,YALI0_C03850g,YALI1_C05125g,1241.0,1241.0
1766,YALI0_C03872g,YALI1_C05133g,213.0,213.0
1767,YALI0_C03894g,YALI1_C05178g,1156.0,1156.0
1768,YALI0_C03916g,YALI1_C05204g,2214.0,2214.0
1769,YALI0_C03982g,YALI1_C05252g,281.0,281.0
1770,YALI0_C04004g,YALI1_C05264g,960.0,960.0
1771,YALI0_C04026g,YALI1_C05296g,1017.0,1017.0
1772,YALI0_C04048g,YALI1_C05347g,896.0,896.0
1773,YALI0_C04070g,YALI1_C05372g,1172.0,1172.0
1774,YALI0_C04092g,YALI1_C05386g,478.0,478.0
1775,YALI0_C04114g,YALI1_C05423g,610.0,610.0
1776,YALI0_C04136g,YALI1_C05494g,3927.0,3927.0
1777,YALI0_C04158g,YALI1_C05554g,1363.0,1363.0
1778,YALI0_C04180g,YALI1_C05570g,1975.0,1975.0
1779,YALI0_C04213g,YALI1_C05636g,863.0,863.0
1780,YALI0_C04235g,YALI1_C05649g,220.0,220.0
1781,YALI0_C04257g,YALI1_C05710g,193.0,193.0
1782,YALI0_C04279g,YALI1_C05734g,785.0,785.0
1783,YALI0_C04301g,YALI1_C05757g,1215.0,1215.0
1784,YALI0_C04323g,YALI1_C05789g,1004.0,1004.0
1785,YALI0_C04345g,YALI1_C05813g,509.0,509.0
1786,YALI0_C04367g,YALI1_C05820g,708.0,708.0
1787,YALI0_C04389g,YALI1_C05857g,526.0,526.0
1788,YALI0_C04411g,YALI1_C05880g,1157.0,1157.0
1789,YALI0_C04433g,YALI1_C05908g,889.0,889.0
1790,YALI0_C04455g,YALI1_C05931g,540.0,540.0
1791,YALI0_C04477g,YALI1_C05972g,1120.0,1120.0
1792,YALI0_C04499g,YALI1_C06006g,1061.0,1061.0
1793,YALI0_C04521g,YALI1_C06032g,360.0,360.0
1794,YALI0_C04543g,YALI1_C06041g,1271.0,1271.0
1795,YALI0_C04565g,YALI1_C06071g,613.0,613.0
1796,YALI0_C04587g,YALI1_C06106g,1368.0,1368.0
1797,YALI0_C04620g,YALI1_C06137g,1891.0,1891.0
1798,YALI0_C04730g,YALI1_C06222g,1164.0,1164.0
1799,YALI0_C04774g,YALI1_C06259g,762.0,762.0
1800,YALI0_C04796g,YALI1_C06298g,1221.0,1221.0
1801,YALI0_C04818g,YALI1_C06328g,1202.0,1202.0
1802,YALI0_C04884g,YALI1_C06368g,560.0,560.0
1803,YALI0_C04906g,YALI1_C06394g,357.0,357.0
1804,YALI0_C04928g,YALI1_C06414g,332.0,332.0
1805,YALI0_C05038g,YALI1_C06459g,1289.0,1289.0
1806,YALI0_C05060g,YALI1_C06486g,1162.0,1162.0
1807,YALI0_C05082g,YALI1_C06511g,221.0,221.0
1808,YALI0_C05104g,YALI1_C06532g,207.0,207.0
1809,YALI0_C05126g,YALI1_C06548g,1265.0,1265.0
1810,YALI0_C05148g,YALI1_C06597g,136.0,136.0
1811,YALI0_C05170g,YALI1_C06626g,600.0,600.0
1812,YALI0_C05236g,YALI1_C06655g,358.0,358.0
1813,YALI0_C05258g,YALI1_C06681g,1092.0,1092.0
1814,YALI0_C05280g,YALI1_C06695g,742.0,742.0
1815,YALI0_C05302g,YALI1_C06716g,650.0,650.0
1816,YALI0_C05324g,YALI1_C06770g,925.0,925.0
1817,YALI0_C05346g,YALI1_C06870g,990.0,990.0
1818,YALI0_C05368g,YALI1_C06917g,1991.0,1991.0
1819,YALI0_C05467g,YALI1_C06951g,212.0,212.0
1820,YALI0_C05489g,YALI1_C06973g,1005.0,1005.0
1821,YALI0_C05500g,YALI1_C06994g,359.0,359.0
1822,YALI0_C05511g,YALI1_C07028g,1001.0,1001.0
1823,YALI0_C05533g,YALI1_C07077g,278.0,278.0
1824,YALI0_C05555g,YALI1_C07109g,643.0,643.0
1825,YALI0_C05577g,YALI1_C07117g,189.0,189.0
1826,YALI0_C05599g,YALI1_C07137g,992.0,992.0
1827,YALI0_C05621g,YALI1_C07170g,167.0,167.0
1828,YALI0_C05643g,YALI1_C07199g,394.0,394.0
1829,YALI0_C05665g,YALI1_C07239g,486.0,486.0
1830,YALI0_C05709g,YALI1_C07360g,946.0,946.0
1831,YALI0_C05731g,YALI1_C07397g,842.0,842.0
1832,YALI0_C05753g,YALI1_C07423g,683.0,683.0
1833,YALI0_C05775g,YALI1_C07451g,804.0,804.0
1834,YALI0_C05797g,YALI1_C07481g,936.0,936.0
1835,YALI0_C05819g,YALI1_C07495g,789.0,789.0
1836,YALI0_C05841g,YALI1_C07519g,449.0,449.0
1837,YALI0_C05863g,YALI1_C07534g,224.0,224.0
1838,YALI0_C05885g,YALI1_C07562g,1194.0,1194.0
1839,YALI0_C05907g,YALI1_C07592g,405.0,405.0
1840,YALI0_C05929g,YALI1_C07613g,587.0,587.0
1841,YALI0_C05951g,YALI1_C07638g,1002.0,1002.0
1842,YALI0_C05973g,YALI1_C07670g,651.0,651.0
1843,YALI0_C05995g,YALI1_C07721g,1990.0,1990.0
1844,YALI0_C06017g,YALI1_C07758g,336.0,336.0
1845,YALI0_C06039g,YALI1_C07770g,497.0,497.0
1846,YALI0_C06061g,YALI1_C07780g,901.0,901.0
1847,YALI0_C06083g,YALI1_C07816g,1179.0,1179.0
1848,YALI0_C06105g,YALI1_C07894g,1296.0,1296.0
1849,YALI0_C06127g,YALI1_C07948g,688.0,688.0
1850,YALI0_C06149g,YALI1_C07979g,474.0,474.0
1851,YALI0_C06171g,YALI1_C08017g,687.0,687.0
1852,YALI0_C06193g,YALI1_C08040g,599.0,599.0
1853,YALI0_C06215g,YALI1_C08065g,567.0,567.0
1854,YALI0_C06237g,YALI1_C08106g,193.0,193.0
1855,YALI0_C06259g,YALI1_C08151g,242.0,242.0
1856,YALI0_C06281g,YALI1_C08173g,992.0,992.0
1857,YALI0_C06303g,YALI1_C08197g,756.0,756.0
1858,YALI0_C06303g,YALI1_C08197g,756.0,60.5
1859,YALI0_C06303g,YALI1_C08197g,60.5,756.0
1860,YALI0_C06303g,YALI1_C08197g,60.5,60.5
1861,YALI0_C06325g,YALI1_C08218g,545.0,545.0
1862,YALI0_C06347g,YALI1_C08242g,1118.0,1118.0
1863,YALI0_C06369g,YALI1_C08262g,683.0,683.0
1864,YALI0_C06391g,YALI1_C08298g,11815.0,11815.0
1865,YALI0_C06424g,YALI1_C08523g,1049.0,1049.0
1866,YALI0_C06446g,YALI1_C08548g,1120.0,1120.0
1867,YALI0_C06460g,YALI1_C08600g,1125.0,1125.0
1868,YALI0_C06490g,YALI1_C08702g,736.0,736.0
1869,YALI0_C06512g,YALI1_C08748g,951.0,951.0
1870,YALI0_C06556g,YALI1_C08791g,1175.0,1175.0
1871,YALI0_C06578g,YALI1_C08834g,1268.0,1268.0
1872,YALI0_C06600g,YALI1_C08882g,355.0,355.0
1873,YALI0_C06622g,YALI1_C08893g,860.0,860.0
1874,YALI0_C06644g,YALI1_C08922g,820.0,820.0
1875,YALI0_C06710g,YALI1_C08952g,1187.0,1187.0
1876,YALI0_C06732g,YALI1_C08983g,583.0,583.0
1877,YALI0_C06754g,YALI1_C09009g,686.0,686.0
1878,YALI0_C06776g,YALI1_C09033g,1011.0,1011.0
1879,YALI0_C06798g,YALI1_C09072g,1446.0,1446.0
1880,YALI0_C06820g,YALI1_C09094g,741.0,741.0
1881,YALI0_C06842g,YALI1_C09133g,356.0,356.0
1882,YALI0_C06853g,YALI1_C09150g,163.0,163.0
1883,YALI0_C06864g,YALI1_C09200g,718.0,718.0
1884,YALI0_C06886g,YALI1_C09230g,323.0,323.0
1885,YALI0_C06908g,YALI1_C09260g,343.0,343.0
1886,YALI0_C06930g,YALI1_C09285g,1216.0,1216.0
1887,YALI0_C06952g,YALI1_C09308g,736.0,736.0
1888,YALI0_C06974g,YALI1_C09343g,986.0,986.0
1889,YALI0_C06996g,YALI1_C09380g,691.0,691.0
1890,YALI0_C07018g,YALI1_C09390g,349.0,349.0
1891,YALI0_C07040g,YALI1_C09415g,1242.0,1242.0
1892,YALI0_C07062g,YALI1_C09451g,315.0,315.0
